date,basket_cost_ngn,affordability_low_pct,affordability_mid_pct
2002-01-01,2670.5699999999997,3.82,1.78
2002-02-01,2822.3100000000004,4.03,1.88
2002-03-01,2762.62,3.95,1.84
2002-04-01,2950.1249999999995,4.21,1.97
2002-05-01,3016.035,4.31,2.01
2002-06-01,2924.7599999999998,4.18,1.95
2002-07-01,2968.1150000000002,4.24,1.98
2002-08-01,2744.0249999999996,3.92,1.83
2002-09-01,2224.85,3.18,1.48
2002-10-01,1905.95,2.72,1.27
2002-11-01,1991.37,2.84,1.33
2002-12-01,1942.8466666666668,2.78,1.3
2003-01-01,1621.7633333333333,2.32,1.08
2003-02-01,1903.3533333333335,2.72,1.27
2003-03-01,1561.07,2.23,1.04
2003-04-01,1772.8600000000001,2.53,1.18
2003-05-01,1861.1700000000003,2.66,1.24
2003-06-01,1685.53,2.41,1.12
2003-07-01,1659.775,2.37,1.11
2003-08-01,1594.9666666666667,2.28,1.06
2003-09-01,1429.7766666666666,2.04,0.95
2003-10-01,1228.6950000000002,1.76,0.82
2003-11-01,1584.1633333333334,2.26,1.06
2003-12-01,1891.3733333333332,2.7,1.26
2005-01-01,2073.325,2.96,1.38
2005-02-01,2185.12,3.12,1.46
2005-03-01,2352.786666666667,3.36,1.57
2005-04-01,2683.0350000000003,3.83,1.79
2005-05-01,2507.62,3.58,1.67
2005-06-01,2821.9066666666663,4.03,1.88
2005-07-01,2891.96,4.13,1.93
2005-08-01,2775.5699999999997,3.97,1.85
2005-09-01,2164.746666666667,3.09,1.44
2005-10-01,1646.585,2.35,1.1
2005-11-01,1896.773333333333,2.71,1.26
2005-12-01,1889.0500000000002,2.7,1.26
2006-01-01,2420.03,3.46,1.61
2006-02-01,2466.6400000000003,3.52,1.64
2006-03-01,2288.933333333333,3.27,1.53
2006-04-01,2252.625,3.22,1.5
2006-05-01,2304.9900000000002,3.29,1.54
2006-06-01,2273.5299999999997,3.25,1.52
2007-01-01,1899.8999999999999,2.71,1.27
2007-02-01,1970.373333333333,2.81,1.31
2007-03-01,1997.5300000000002,2.85,1.33
2007-04-01,1982.8999999999999,2.83,1.32
2008-01-01,2206.54,3.15,1.47
2008-02-01,2513.13,3.59,1.68
2008-03-01,2534.915,3.62,1.69
2008-04-01,2433.24,3.48,1.62
2008-05-01,2704.3425,3.86,1.8
2008-06-01,3022.445,4.32,2.01
2008-07-01,3210.9575,4.59,2.14
2008-08-01,3089.79,4.41,2.06
2008-09-01,3026.5350000000003,4.32,2.02
2008-10-01,2808.54,4.01,1.87
2008-11-01,2968.0,4.24,1.98
2008-12-01,2629.25,3.76,1.75
2009-01-01,3235.436,4.62,2.16
2009-02-01,2902.368,4.15,1.93
2009-07-01,2798.0,4.0,1.87
2009-08-01,2775.584,3.97,1.85
2009-09-01,2626.502,3.75,1.75
2009-10-01,2512.6780000000003,3.59,1.68
2009-11-01,2503.262,3.58,1.67
2009-12-01,2575.4320000000002,3.68,1.72
2010-01-01,2647.2380000000003,3.78,1.76
2010-02-01,2706.276,3.87,1.8
2010-03-01,2672.042,3.82,1.78
2010-04-01,2792.174,3.99,1.86
2010-05-01,3097.4649999999997,4.42,2.06
2010-06-01,3101.666,4.43,2.07
2010-07-01,2903.5919999999996,4.15,1.94
2010-08-01,2858.7200000000003,4.08,1.91
2010-09-01,2539.842,3.63,1.69
2010-10-01,2527.186,3.61,1.68
2010-11-01,2437.852,3.48,1.63
2010-12-01,2656.582,3.8,1.77
2011-01-01,2556.44,3.65,1.7
2011-02-01,2552.522,3.65,1.7
2011-03-01,2525.834,3.61,1.68
2011-04-01,2525.716,3.61,1.68
2011-05-01,2530.68,3.62,1.69
2011-06-01,2479.904,3.54,1.65
2011-07-01,2519.516,3.6,1.68
2011-08-01,2552.376,3.65,1.7
2011-09-01,2555.162,3.65,1.7
2011-10-01,2536.866,3.62,1.69
2011-11-01,2624.1459999999997,3.75,1.75
2011-12-01,2729.616,3.9,1.82
2012-01-01,2679.8940000000002,3.83,1.79
2012-02-01,2778.974,3.97,1.85
2012-03-01,2739.76,3.91,1.83
2012-04-01,2787.446,3.98,1.86
2012-05-01,17322.82725,24.75,11.55
2012-06-01,40666.666666666664,58.1,27.11
2012-07-01,17280.47975,24.69,11.52
2012-08-01,17778.773,25.4,11.85
2012-09-01,17949.573,25.64,11.97
2012-10-01,17985.6895,25.69,11.99
2012-11-01,17389.63025,24.84,11.59
2012-12-01,18012.882999999998,25.73,12.01
2013-01-01,17631.256999999998,25.19,11.75
2013-02-01,18392.10725,26.27,12.26
2013-03-01,19473.90575,27.82,12.98
2013-04-01,20090.41025,28.7,13.39
2013-05-01,19548.1435,27.93,13.03
2013-06-01,19695.882999999998,28.14,13.13
2013-07-01,20388.775,29.13,13.59
2013-08-01,20449.141,29.21,13.63
2013-09-01,20168.784249999997,28.81,13.45
2013-10-01,20947.74175,29.93,13.97
2013-11-01,25066.378,35.81,16.71
2013-12-01,23840.792999999998,34.06,15.89
2014-01-01,22634.156000000003,32.33,15.09
2014-02-01,22260.219999999998,31.8,14.84
2014-03-01,23012.943,32.88,15.34
2014-04-01,23279.438000000002,33.26,15.52
2014-05-01,2846.8516666666665,4.07,1.9
2014-06-01,2605.272,3.72,1.74
2014-07-01,31000.99254166667,44.29,20.67
2014-08-01,30772.926443181816,43.96,20.52
2014-09-01,30553.169291666673,43.65,20.37
2014-10-01,30703.222583333332,43.86,20.47
2014-11-01,40226.69325757575,57.47,26.82
2014-12-01,39750.89590909091,56.79,26.5
2015-01-01,31794.165105263157,45.42,21.2
2015-02-01,31461.669929824562,44.95,20.97
2015-03-01,31140.807429824563,44.49,20.76
2015-04-01,31523.466070175436,45.03,21.02
2015-05-01,31586.53894736842,45.12,21.06
2015-06-01,29237.963333333333,41.77,19.49
2015-07-01,31629.055,45.18,21.09
2015-08-01,33319.12396491228,47.6,22.21
2015-09-01,33757.73150877193,48.23,22.51
2015-10-01,37591.068651315785,53.7,25.06
2015-11-01,45437.561041666675,64.91,30.29
2015-12-01,37179.584276315785,53.11,24.79
2016-01-01,39420.82361344538,56.32,26.28
2016-02-01,42910.216,61.3,28.61
2016-03-01,53063.6675,75.81,35.38
2016-04-01,53074.69242647059,75.82,35.38
2016-05-01,52278.97349206349,74.68,34.85
2016-06-01,40852.377362637366,58.36,27.23
2016-07-01,41466.73915750916,59.24,27.64
2016-08-01,45831.449377289384,65.47,30.55
2016-09-01,48678.51296703298,69.54,32.45
2016-10-01,49855.64575091575,71.22,33.24
2016-11-01,49795.20071428572,71.14,33.2
2016-12-01,43643.25266210491,62.35,29.1
2017-01-01,48090.29448051947,68.7,32.06
2017-02-01,39661.40946969697,56.66,26.44
2017-03-01,39995.61437908497,57.14,26.66
2017-04-01,39418.765277777784,56.31,26.28
2017-05-01,41274.29166666667,58.96,27.52
2017-06-01,42178.788194444445,60.26,28.12
2017-07-01,45205.53125,64.58,30.14
2017-08-01,44524.129419191915,63.61,29.68
2017-09-01,39012.8724340176,55.73,26.01
2017-10-01,35904.802737047896,51.29,23.94
2017-11-01,34405.322118845506,49.15,22.94
2017-12-01,34677.788500848896,49.54,23.12
2018-01-01,15359.556783181864,21.94,10.24
2018-02-01,36234.87887521223,51.76,24.16
2018-03-01,36647.3878353141,52.35,24.43
2018-04-01,36385.74754032258,51.98,24.26
2018-05-01,37725.69179525518,53.89,25.15
2018-06-01,20620.894298245614,29.46,13.75
2018-07-01,36135.521228070174,51.62,24.09
2018-08-01,35938.519138755975,51.34,23.96
2018-09-01,36133.43406698565,51.62,24.09
2018-10-01,36087.24728867623,51.55,24.06
2018-11-01,36165.60787878787,51.67,24.11
2018-12-01,36589.23783094099,52.27,24.39
2019-01-01,27310.85571150097,39.02,18.21
2019-02-01,26836.00861937453,38.34,17.89
2019-03-01,26752.88350773178,38.22,17.84
2019-04-01,26730.926078173037,38.19,17.82
2019-05-01,20661.973941166045,29.52,13.77
2019-06-01,20604.203893319158,29.43,13.74
2019-07-01,30244.989696847486,43.21,20.16
2019-08-01,25916.671600212656,37.02,17.28
2019-09-01,28872.198134469698,41.25,19.25
2019-10-01,30987.736390217968,44.27,20.66
2019-11-01,41055.205693779906,58.65,27.37
2019-12-01,47783.236267942586,68.26,31.86
2020-01-01,36254.71818427187,51.79,24.17
2020-02-01,35449.83893387314,50.64,23.63
2020-03-01,42352.658925831194,60.5,28.24
2020-04-01,44115.96726708074,63.02,29.41
2020-05-01,42416.05246710526,60.59,28.28
2020-06-01,43333.48109250398,61.9,28.89
2020-07-01,46065.950307548934,65.81,30.71
2020-08-01,46125.16406330512,65.89,30.75
2020-09-01,48453.224074346705,69.22,32.3
2020-10-01,43580.594619883035,62.26,29.05
2020-11-01,50761.31983253589,72.52,33.84
2020-12-01,50397.20263157895,72.0,33.6
2021-01-01,50319.611459330146,71.89,33.55
2021-02-01,51280.56421052632,73.26,34.19
2021-03-01,50318.76403813679,71.88,33.55
2021-04-01,59031.21546052631,84.33,39.35
2021-05-01,52434.13785462989,74.91,34.96
2021-06-01,52792.656700591826,75.42,35.2
2021-07-01,53620.61849264706,76.6,35.75
2021-08-01,52647.06097650646,75.21,35.1
2021-09-01,53890.48466911765,76.99,35.93
2021-10-01,53825.26327205882,76.89,35.88
2021-11-01,54683.19788602942,78.12,36.46
2021-12-01,56919.33385416666,81.31,37.95
2022-01-01,58311.28381740196,83.3,38.87
2022-02-01,57066.51512867647,81.52,38.04
2022-03-01,54816.5890712535,78.31,36.54
2022-04-01,58425.29948529412,83.46,38.95
2022-05-01,56488.014992997196,80.7,37.66
2022-06-01,77598.82797413794,110.86,51.73
2022-07-01,82769.906875,118.24,55.18
2022-08-01,81728.85023706897,116.76,54.49
2022-09-01,83674.37989224137,119.53,55.78
2022-10-01,86149.41674568965,123.07,57.43
2022-11-01,91934.49898706898,131.33,61.29
2022-12-01,93529.98340517242,133.61,62.35
2023-01-01,94675.1115948276,135.25,63.12
2023-02-01,13880.573863636362,19.83,9.25
2023-03-01,15240.901785714286,21.77,10.16
2023-04-01,15577.955357142859,22.25,10.39
2023-05-01,15712.0625,22.45,10.47
2023-06-01,14642.532246376812,20.92,9.76
2023-07-01,14662.312069597068,20.95,9.77
2023-08-01,15507.109506220097,22.15,10.34
2023-09-01,15944.189851948053,22.78,10.63
2023-10-01,16999.994537398085,24.29,11.33
2023-11-01,17705.259607843138,25.29,11.8
2023-12-01,18119.68625,25.89,12.08
2024-01-01,24504.987599999997,35.01,16.34
2024-02-01,22749.496333333333,32.5,15.17
2024-03-01,25326.971549707603,36.18,16.88
2024-04-01,25355.877323232322,36.22,16.9
2024-05-01,24666.53545614035,35.24,16.44
2024-06-01,26115.988263157895,37.31,17.41
2024-07-01,28756.968,41.08,19.17
2024-08-01,30066.632999999994,42.95,20.04
2024-09-01,32415.816517241376,46.31,21.61
2024-10-01,32684.013460410555,46.69,21.79
2024-11-01,33380.600375362315,47.69,22.25
2024-12-01,33782.35287498931,48.26,22.52
2025-01-01,35589.31909090909,50.84,23.73
2025-02-01,34839.23478095238,49.77,23.23
2025-03-01,32263.79944852941,46.09,21.51
2025-04-01,33124.543333333335,47.32,22.08
2025-05-01,31930.59172043011,45.62,21.29
2025-06-01,29605.44809983897,42.29,19.74
2025-07-01,28670.0023731203,40.96,19.11
2025-08-01,28787.481571428572,41.12,19.19
2025-09-01,27355.584720538718,39.08,18.24
2025-10-01,23897.527639639644,34.14,15.93
2025-11-01,25102.820756245455,35.86,16.74
2025-12-01,25454.593943355118,36.36,16.97
2026-01-01,23250.457846736594,33.21,15.5
2026-02-01,24728.308214285717,35.33,16.49
2026-03-01,26024.69455026455,37.18,17.35
2026-04-01,19900.0,28.43,13.27
